,syn,cluster,shared,pf_index
494,39,2,False,332
495,39,2,False,333
496,39,2,False,334
497,39,2,False,335
498,39,2,False,336
499,39,2,True,162
500,39,2,False,337
501,39,2,False,338
502,40,2,False,339
503,40,2,False,340
504,40,2,False,341
505,40,2,False,342
506,40,2,False,343
507,40,2,True,163
508,40,2,True,164
509,40,2,True,165
510,40,2,True,166
511,40,2,False,344
512,40,2,False,345
513,40,2,False,346
514,41,2,False,347
515,41,2,True,167
516,41,2,False,348
517,41,2,False,349
518,41,2,False,350
519,41,2,True,168
520,41,2,False,351
521,41,2,False,352
522,41,2,False,353
523,41,2,False,354
524,41,2,False,355
525,41,2,False,356
526,41,2,False,357
527,41,2,True,169
528,42,2,False,358
529,42,2,False,359
530,42,2,True,170
531,42,2,True,171
532,42,2,True,172
533,42,2,True,173
534,42,2,False,360
535,42,2,False,361
536,42,2,False,362
537,42,2,False,363
538,42,2,False,364
539,42,2,True,174
540,42,2,False,365
541,42,2,False,366
542,43,2,False,367
543,43,2,False,368
544,43,2,False,369
545,43,2,False,370
546,43,2,False,371
547,43,2,False,372
548,43,2,False,373
549,43,2,False,374
550,43,2,False,375
551,43,2,False,376
552,43,2,False,377
553,43,2,False,378
554,43,2,False,379
555,43,2,False,380
556,44,2,False,381
557,44,2,False,382
558,44,2,False,383
559,44,2,False,384
560,44,2,False,385
561,44,2,False,386
562,44,2,False,387
563,44,2,False,388
564,44,2,False,389
565,44,2,False,390
566,44,2,False,391
567,44,2,False,392
568,44,2,False,393
569,44,2,True,175
570,45,2,True,176
571,45,2,False,394
572,45,2,False,395
573,45,2,True,177
574,45,2,False,396
575,45,2,False,397
576,45,2,False,398
577,45,2,False,399
578,45,2,False,400
579,45,2,False,401
580,45,2,False,402
581,45,2,False,403
582,45,2,False,404
583,45,2,False,405
584,46,2,True,178
585,46,2,False,406
586,46,2,False,407
587,46,2,False,408
588,46,2,True,179
589,46,2,True,180
590,46,2,False,409
591,46,2,False,410
592,47,2,False,411
593,47,2,False,412
594,47,2,False,413
595,47,2,False,414
596,47,2,False,415
597,47,2,True,181
598,47,2,False,416
599,47,2,True,182
